,edit_count,sentiment,neg_sentiment
2017-11-28,1.6666666666666667,-0.27154543577205564,0.405952380952381
2017-11-29,1.9333333333333333,-0.2572574141479674,0.41428571428571437
2017-11-30,2.1333333333333333,-0.2684393974996748,0.43650793650793657
2017-12-01,2.1,-0.20321385789485205,0.40317460317460324
2017-12-02,2.0,-0.17007674040302398,0.3698412698412699
2017-12-03,3.2666666666666666,-0.15489376317414025,0.36230158730158735
2017-12-04,5.233333333333333,-0.17054791004748504,0.38659537261232185
2017-12-05,6.966666666666667,-0.15186361761919762,0.37301512569874157
2017-12-06,7.566666666666666,-0.170916364511173,0.39894105162466753
2017-12-07,7.8,-0.17285994967739773,0.40079290347651936
2017-12-08,8.1,-0.18373756202093863,0.42301512569874156
2017-12-09,8.166666666666666,-0.16913370084794466,0.4146817923654082
2017-12-10,8.366666666666667,-0.19007548284562534,0.44245957014318604
2017-12-11,8.366666666666667,-0.20046793299661467,0.44722147490509073
2017-12-12,8.4,-0.16538018065439053,0.430554808238424
2017-12-13,8.266666666666667,-0.15768661708712303,0.4249992526828686
2017-12-14,8.466666666666667,-0.17987991185068808,0.4527770304606463
2017-12-15,8.533333333333333,-0.2130977830398055,0.48611036379397965
2017-12-16,8.933333333333334,-0.21382158591760256,0.5027770304606463
2017-12-17,9.766666666666667,-0.23978783037675477,0.5321103637939797
2017-12-18,9.766666666666667,-0.23978783037675477,0.5321103637939797
2017-12-19,9.833333333333334,-0.27274765418383534,0.5654436971273129
2017-12-20,9.833333333333334,-0.2754308764776891,0.565443697127313
2017-12-21,9.866666666666667,-0.24212557322197217,0.565443697127313
2017-12-22,9.966666666666667,-0.22713104353758748,0.5587770304606463
2017-12-23,9.933333333333334,-0.20243463780892945,0.525443697127313
2017-12-24,10.2,-0.22733871506068168,0.5546103637939797
2017-12-25,10.133333333333333,-0.2503360890654695,0.5657214749050908
2017-12-26,10.2,-0.26061789609200464,0.5715415807251965
2017-12-27,10.3,-0.2643893408497841,0.5748749140585299
2017-12-28,10.4,-0.29783478058583246,0.5915415807251966
2017-12-29,10.333333333333334,-0.3219972215812078,0.6054304696140854
2017-12-30,10.233333333333333,-0.2998914347145959,0.5943193585029742
2017-12-31,10.2,-0.3318857636108005,0.5943193585029742
2018-01-01,10.233333333333333,-0.29892901639680114,0.5943193585029742
2018-01-02,9.033333333333333,-0.292937442741385,0.5935257077093236
2018-01-03,7.933333333333334,-0.27709070172192296,0.5858985890652557
2018-01-04,6.5,-0.27936782696116147,0.5873576238576239
2018-01-05,6.633333333333334,-0.28176394487958056,0.5887044252044252
2018-01-06,6.4,-0.3085479338631234,0.6035192400192401
2018-01-07,6.166666666666667,-0.2977617778931151,0.5979636844636845
2018-01-08,6.033333333333333,-0.2790754128052881,0.5729636844636846
2018-01-09,5.833333333333333,-0.2581336308076074,0.5451859066859067
2018-01-10,5.8,-0.25471567421506275,0.5443922558922559
2018-01-11,6.0,-0.26559718633046175,0.5485589225589227
2018-01-12,6.233333333333333,-0.2942888564082802,0.5652255892255893
2018-01-13,6.266666666666667,-0.2769161477470645,0.5564954304954306
2018-01-14,6.366666666666666,-0.25279653417907644,0.5431620971620973
2018-01-15,6.2,-0.27359609597008017,0.5550668590668592
2018-01-16,5.633333333333334,-0.2704073949762244,0.5549001924001924
2018-01-17,5.9,-0.2807337449598371,0.5757335257335258
